Path,Name,N_Tracks
data/midi-classic-music/Albe¦üniz/Mallorca (Barcarola).mid,Mallorca (Barcarola).mid,1.0
"data/midi-classic-music/Albe¦üniz/Piezas caracteristicas, Gavotte.mid","Piezas caracteristicas, Gavotte.mid",1.0
data/midi-classic-music/Albe¦üniz/Suite Espanola No.5. Asturias.mid,Suite Espanola No.5. Asturias.mid,1.0
data/midi-classic-music/Albe¦üniz/Torre Bermeja Serenata from Piezas caracteristicas.mid,Torre Bermeja Serenata from Piezas caracteristicas.mid,1.0
data/midi-classic-music/Albe¦üniz/Triana.mid,Triana.mid,1.0
"data/midi-classic-music/Alkan/Chantes Op 38,No.1.mid","Chantes Op 38,No.1.mid",1.0
data/midi-classic-music/Alkan/Etude Op.35 No.5.mid,Etude Op.35 No.5.mid,1.0
data/midi-classic-music/Alkan/Etude Op.76 No.2.mid,Etude Op.76 No.2.mid,1.0
data/midi-classic-music/Alkan/Etude Op.76 No.3 for both hands.mid,Etude Op.76 No.3 for both hands.mid,1.0
data/midi-classic-music/midiclassics/Bartok Suite 1mov.mid,Bartok Suite 1mov.mid,1.0
data/midi-classic-music/midiclassics/Bartok Suite 2mov.mid,Bartok Suite 2mov.mid,1.0
data/midi-classic-music/midiclassics/C.P.E.Bach Solfeggieto.mid,C.P.E.Bach Solfeggieto.mid,1.0
data/midi-classic-music/midiclassics/Rimsky Korsakov ''Flight Of the Bumblebee''.mid,Rimsky Korsakov ''Flight Of the Bumblebee''.mid,1.0
data/midi-classic-music/midiclassics/Bach/Bwv1005 Violin Sonata n3 4mov Allegro.mid,Bwv1005 Violin Sonata n3 4mov Allegro.mid,1.0
data/midi-classic-music/midiclassics/Beethoven/Bagatella Fur Elise.mid,Bagatella Fur Elise.mid,1.0
data/midi-classic-music/midiclassics/Beethoven/Op.51.mid,Op.51.mid,1.0
data/midi-classic-music/midiclassics/Beethoven/Op33 No.4.mid,Op33 No.4.mid,1.0
"data/midi-classic-music/midiclassics/Beethoven/Piano Sonata No.27,  3rd mov.mid","Piano Sonata No.27,  3rd mov.mid",1.0
data/midi-classic-music/midiclassics/Beethoven/Piano Sonata No.27.mid,Piano Sonata No.27.mid,1.0
data/midi-classic-music/midiclassics/Beethoven/Piano Sonatina No.2 Op 49.mid,Piano Sonatina No.2 Op 49.mid,1.0
data/midi-classic-music/midiclassics/Beethoven/Rage over a lost pennny.mid,Rage over a lost pennny.mid,1.0
data/midi-classic-music/midiclassics/Beethoven/Sonata Opus.81a -Les Adieux- E flat No.1.mid,Sonata Opus.81a -Les Adieux- E flat No.1.mid,1.0
data/midi-classic-music/midiclassics/Beethoven/Sonata Opus.81a -Les Adieux- E flat No.2 & 3.mid,Sonata Opus.81a -Les Adieux- E flat No.2 & 3.mid,1.0
data/midi-classic-music/midiclassics/Beethoven/Sonata Presto.mid,Sonata Presto.mid,1.0
"data/midi-classic-music/midiclassics/Beethoven/Sonata, Opus.111 C minor No.1.mid","Sonata, Opus.111 C minor No.1.mid",1.0
"data/midi-classic-music/midiclassics/Beethoven/Sonata, Opus.111 C minor No.2.mid","Sonata, Opus.111 C minor No.2.mid",1.0
data/midi-classic-music/midiclassics/Beethoven/Sonatina In C.mid,Sonatina In C.mid,1.0
data/midi-classic-music/midiclassics/Beethoven/Sonatina op33 4mov.mid,Sonatina op33 4mov.mid,1.0
data/midi-classic-music/midiclassics/Berlin/Alexanders Ragtime Band.mid,Alexanders Ragtime Band.mid,1.0
"data/midi-classic-music/midiclassics/Brahms/Ballade in G Minor Op.118, No.3.mid","Ballade in G Minor Op.118, No.3.mid",1.0
"data/midi-classic-music/midiclassics/Brahms/Ballade Op.10, No.1.mid","Ballade Op.10, No.1.mid",1.0
data/midi-classic-music/midiclassics/Brahms/Rhapsody in G Major (183).mid,Rhapsody in G Major (183).mid,1.0
data/midi-classic-music/midiclassics/Brahms/Waltz No.1.mid,Waltz No.1.mid,1.0
data/midi-classic-music/midiclassics/Brahms/Waltz No.10b.mid,Waltz No.10b.mid,1.0
data/midi-classic-music/midiclassics/Brahms/Waltz No.13.mid,Waltz No.13.mid,1.0
data/midi-classic-music/midiclassics/Brahms/Waltz No.14.mid,Waltz No.14.mid,1.0
