Path,Name,N_Tracks
data/midi-classic-music/Rothchild Symphony Rmw12 2mov.mid,Rothchild Symphony Rmw12 2mov.mid,7.0
data/midi-classic-music/Rothchlid Symphony Rmw12 3mov.mid,Rothchlid Symphony Rmw12 3mov.mid,11.0
data/midi-classic-music/Sibelius Kuolema Vals op44.mid,Sibelius Kuolema Vals op44.mid,21.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 1 1mov.mid,Tchaikovsky Lake Of The Swans Act 1 1mov.mid,27.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 1 2mov.mid,Tchaikovsky Lake Of The Swans Act 1 2mov.mid,30.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 1 3mov.mid,Tchaikovsky Lake Of The Swans Act 1 3mov.mid,24.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 1 4mov.mid,Tchaikovsky Lake Of The Swans Act 1 4mov.mid,29.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 1 5mov.mid,Tchaikovsky Lake Of The Swans Act 1 5mov.mid,29.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 1 6mov.mid,Tchaikovsky Lake Of The Swans Act 1 6mov.mid,25.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 1 7-8movs.mid,Tchaikovsky Lake Of The Swans Act 1 7-8movs.mid,28.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 1 9mov.mid,Tchaikovsky Lake Of The Swans Act 1 9mov.mid,23.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 2 10mov.mid,Tchaikovsky Lake Of The Swans Act 2 10mov.mid,19.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 2 11mov.mid,Tchaikovsky Lake Of The Swans Act 2 11mov.mid,23.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 2 12mov.mid,Tchaikovsky Lake Of The Swans Act 2 12mov.mid,23.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 2 13mov.mid,Tchaikovsky Lake Of The Swans Act 2 13mov.mid,32.0
data/midi-classic-music/Tchaikovsky Lake Of The Swans Act 2 14mov.mid,Tchaikovsky Lake Of The Swans Act 2 14mov.mid,19.0
data/midi-classic-music/Wagner Ride of the valkyries.mid,Wagner Ride of the valkyries.mid,12.0
data/midi-classic-music/Albe¦üniz/Aragon (Fantasia) Op.47 part 6.mid,Aragon (Fantasia) Op.47 part 6.mid,2.0
data/midi-classic-music/Albe¦üniz/Castilla (Seguidillas) Op.47 part 7.mid,Castilla (Seguidillas) Op.47 part 7.mid,2.0
"data/midi-classic-music/Albe¦üniz/Cataluna (Curranda), No.2 from Suite Espanola.mid","Cataluna (Curranda), No.2 from Suite Espanola.mid",2.0
"data/midi-classic-music/Albe¦üniz/Catalun¦âa (Curranda), No.2 from Suite Espanola.mid","Catalun¦âa (Curranda), No.2 from Suite Espanola.mid",2.0
data/midi-classic-music/Albe¦üniz/Espana Op. 165.mid,Espana Op. 165.mid,2.0
data/midi-classic-music/Albe¦üniz/Espan¦âa Op. 165 No.1.mid,Espan¦âa Op. 165 No.1.mid,2.0
data/midi-classic-music/Albe¦üniz/Espan¦âa Op. 165 No.2.mid,Espan¦âa Op. 165 No.2.mid,2.0
data/midi-classic-music/Albe¦üniz/Espan¦âa Op. 165 No.3.mid,Espan¦âa Op. 165 No.3.mid,2.0
data/midi-classic-music/Albe¦üniz/Espan¦âa Op. 165 No.4.mid,Espan¦âa Op. 165 No.4.mid,2.0
data/midi-classic-music/Albe¦üniz/Espan¦âa Op. 165 No.5.mid,Espan¦âa Op. 165 No.5.mid,2.0
data/midi-classic-music/Albe¦üniz/Espan¦âa Op. 165 No.6.mid,Espan¦âa Op. 165 No.6.mid,2.0
data/midi-classic-music/Albe¦üniz/Mallorca (Barcarola).mid,Mallorca (Barcarola).mid,1.0
"data/midi-classic-music/Albe¦üniz/Piezas caracteristicas, Gavotte.mid","Piezas caracteristicas, Gavotte.mid",1.0
data/midi-classic-music/Albe¦üniz/Suite Espanola No.5. Asturias.mid,Suite Espanola No.5. Asturias.mid,1.0
data/midi-classic-music/Albe¦üniz/Ti¦ütulo Desconocido 2.mid,Ti¦ütulo Desconocido 2.mid,2.0
data/midi-classic-music/Albe¦üniz/Ti¦ütulo Desconocido 3.mid,Ti¦ütulo Desconocido 3.mid,13.0
data/midi-classic-music/Albe¦üniz/Ti¦ütulo Desconocido 4.mid,Ti¦ütulo Desconocido 4.mid,6.0
data/midi-classic-music/Albe¦üniz/Ti¦ütulo Desconocido.mid,Ti¦ütulo Desconocido.mid,2.0
data/midi-classic-music/Albe¦üniz/Torre Bermeja Serenata from Piezas caracteristicas.mid,Torre Bermeja Serenata from Piezas caracteristicas.mid,1.0
data/midi-classic-music/Albe¦üniz/Triana.mid,Triana.mid,1.0
"data/midi-classic-music/Alkan/Chantes Op 38,No.1.mid","Chantes Op 38,No.1.mid",1.0
data/midi-classic-music/Alkan/Etude Op.35 No.5.mid,Etude Op.35 No.5.mid,1.0
data/midi-classic-music/Alkan/Etude Op.76 No.2.mid,Etude Op.76 No.2.mid,1.0
data/midi-classic-music/Alkan/Etude Op.76 No.3 for both hands.mid,Etude Op.76 No.3 for both hands.mid,1.0
"data/midi-classic-music/Alkan/Gros Temps (Foul Weather) From  Les Mois , Op. 74, Bk. 4, No. 1.mid","Gros Temps (Foul Weather) From  Les Mois , Op. 74, Bk. 4, No. 1.mid",2.0
data/midi-classic-music/Alkan/Hallelujah (Psalm 150).mid,Hallelujah (Psalm 150).mid,5.0
data/midi-classic-music/Alkan/Saltarelle Op. 23.mid,Saltarelle Op. 23.mid,2.0
data/midi-classic-music/Alkan/Un Nuit D'ete Suite No. 1 from Les Mois Sequenced.mid,Un Nuit D'ete Suite No. 1 from Les Mois Sequenced.mid,2.0
data/midi-classic-music/Ambroise/Dance Fantastique.mid,Dance Fantastique.mid,2.0
data/midi-classic-music/Ambroise/Polonaise (1905)..mid,Polonaise (1905)..mid,2.0
data/midi-classic-music/Arensky/A fairy tale.mid,A fairy tale.mid,2.0
data/midi-classic-music/Arensky/Psalm 119.mid,Psalm 119.mid,3.0
"data/midi-classic-music/Arndt/Nola, Novelty piano solo.mid","Nola, Novelty piano solo.mid",4.0
data/midi-classic-music/midiclassics/Bartok Suite 1mov.mid,Bartok Suite 1mov.mid,1.0
data/midi-classic-music/midiclassics/Bartok Suite 2mov.mid,Bartok Suite 2mov.mid,1.0
data/midi-classic-music/midiclassics/Bizet Carmen Prelude.mid,Bizet Carmen Prelude.mid,20.0
data/midi-classic-music/midiclassics/Bizet Symphony in C 1mov.mid,Bizet Symphony in C 1mov.mid,17.0
data/midi-classic-music/midiclassics/Bizet Symphony in C 2mov.mid,Bizet Symphony in C 2mov.mid,19.0
data/midi-classic-music/midiclassics/Bizet Symphony in C 3mov.mid,Bizet Symphony in C 3mov.mid,15.0
data/midi-classic-music/midiclassics/Bizet Symphony in C 4mov.mid,Bizet Symphony in C 4mov.mid,18.0
data/midi-classic-music/midiclassics/Buxethude Buxwv136 Prelude.mid,Buxethude Buxwv136 Prelude.mid,3.0
data/midi-classic-music/midiclassics/Buxethude Buxwv138 Prelude.mid,Buxethude Buxwv138 Prelude.mid,
data/midi-classic-music/midiclassics/Buxethude Buxwv145 Prelude.mid,Buxethude Buxwv145 Prelude.mid,3.0
data/midi-classic-music/midiclassics/Buxethude Buxwv153 Prelude.mid,Buxethude Buxwv153 Prelude.mid,3.0
data/midi-classic-music/midiclassics/Buxethude Buxwv155 Toccata.mid,Buxethude Buxwv155 Toccata.mid,3.0
data/midi-classic-music/midiclassics/Buxethude Buxwv156 Toccata.mid,Buxethude Buxwv156 Toccata.mid,3.0
data/midi-classic-music/midiclassics/Buxethude Buxwv157 Tocatta and Fugue.mid,Buxethude Buxwv157 Tocatta and Fugue.mid,8.0
data/midi-classic-music/midiclassics/Buxethude Buxwv157 Toccata.mid,Buxethude Buxwv157 Toccata.mid,3.0
data/midi-classic-music/midiclassics/Buxethude Buxwv158 Preambulum.mid,Buxethude Buxwv158 Preambulum.mid,3.0
